onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
12.026	10.43	5.43	5366.5	5420.2	0.0	4.0	SS	5366.5	5119.19853766	247.301462338
31.487	9.16	4.16	3625.3	3679.7	4.0	6.0	SS	3423.97521468	3381.46236319	42.512851487199995
49.672	9.998999999999999	4.999	4438.0	4504.6	2.0	4.0	SS	4311.25230324	4254.44480513	56.807498115
68.696	10.607	5.607	3504.3	3539.4	0.0	2.0	SS	3504.3	3438.31599867	65.9840013299
88.333	9.937999999999999	4.938	4647.6	4763.8	2.0	4.0	SS	4514.86620202	4499.25058	15.615622017
107.29799999999999	7.7010000000000005	2.701	4045.3	4049.3	0.0	2.0	SS	4045.3	3933.65343658	111.646563425
124.031	10.472000000000001	5.472	3412.9	3423.2	4.0	6.0	SS	3223.37048249	3145.75154542	77.6189370729
143.52700000000002	7.279999999999999	2.28	4726.0	4773.3	2.0	6.0	SS	4591.02712599	4386.42669191	204.60043407900002
159.835	7.851000000000001	2.8510000000000004	4575.9	4804.7	0.0	2.0	LL	4575.9	4667.47948206	91.57948206200001
176.709	8.353	3.353	3809.9	3829.0	2.0	4.0	SS	3701.09061517	3616.36308636	84.7275288063
194.09099999999998	9.835	4.835	3614.4	3704.8	0.0	4.0	SS	3614.4	3499.06031924	115.33968076200001
212.95	10.8	5.8	5536.1	5674.5	2.0	6.0	LL	5377.99095899	5214.58493353	163.406025455
232.77599999999998	11.382000000000001	6.382000000000001	3953.1	4091.4	4.0	6.0	SS	3733.57140682	3759.79430735	26.222900531100002
253.18200000000002	9.544	4.544	3972.9	4032.5	2.0	4.0	SS	3859.43539332	3808.56206471	50.87332861310001
271.757	9.184999999999999	4.185	3640.3	3676.7	0.0	2.0	SS	3640.3	3571.69475965	68.60524034859999
289.966	10.431000000000001	5.431	3993.8	4093.6	2.0	4.0	SS	3879.73849678	3866.26898155	13.46951523
309.426	9.683	4.683	4007.4	4011.4	2.0	4.0	SS	3892.95008563	3788.63381683	104.316268798
328.131	8.642	3.642	4464.7	4478.1	2.0	4.0	SS	4337.18976077	4229.41643694	107.77332382700001
345.79699999999997	8.256	3.2560000000000002	4235.5	4248.2	4.0	6.0	SS	4000.28880969	3903.88575463	96.4030550611
363.085	11.280000000000001	6.28	3462.3	3548.8	0.0	4.0	SS	3462.3	3351.72351029	110.57648971299999
